_id,skillName,description,createdAt,updatedAt,__v
660f8781a2c1cc29e41e17f4,ADF,"Azure Data Factory (ADF) is a cloud-based data integration service that allows you to create, schedule, and manage data pipelines for data movement and data transformation.",2024-04-05 05:09:21.403,2024-04-05 05:09:21.406,0
660f878aa2c1cc29e41e17f7,Alteryx,"Alteryx is a platform used for data blending and advanced analytics that enables users to prepare, blend, and analyze data using a drag-and-drop interface without the need for coding.",2024-04-05 05:09:30.437,2024-04-05 05:09:30.437,0
660f8794a2c1cc29e41e17fa,Angular,Angular is a TypeScript-based open-source web application framework maintained by Google. It is widely used for building dynamic single-page applications (SPAs) and supports the development of cross-platform applications.,2024-04-05 05:09:40.856,2024-04-05 05:09:40.856,0
660f879ca2c1cc29e41e17fd,AWS,"Amazon Web Services (AWS) is a comprehensive, evolving cloud computing platform provided by Amazon. It offers a wide range of services including computing power, storage options, networking, databases, machine learning, and more.",2024-04-05 05:09:48.947,2024-04-05 05:09:48.947,0
660f87a2a2c1cc29e41e1800,AWS Lambda,"AWS Lambda is a serverless computing service provided by AWS. It allows you to run code in response to events without provisioning or managing servers, enabling you to build scalable and cost-effective applications.",2024-04-05 05:09:54.470,2024-04-05 05:09:54.471,0
660f87e4a2c1cc29e41e1803,PHP,"PHP is a popular server-side scripting language used for web development. It is widely used for creating dynamic web pages and web applications, and it can be embedded into HTML code.",2024-04-05 05:11:00.596,2024-04-05 05:11:00.596,0
660f87e9a2c1cc29e41e1806,Power BI,Power BI is a business analytics service by Microsoft that provides interactive visualizations and business intelligence capabilities. It enables users to create reports and dashboards from various data sources for data analysis and decision-making.,2024-04-05 05:11:05.270,2024-04-05 05:11:05.273,0
660f87eea2c1cc29e41e1809,Presenting,"Presenting skills involve the ability to effectively communicate ideas, information, or proposals to an audience in a clear, engaging, and persuasive manner. This skill is essential for conveying messages and making impactful presentations.",2024-04-05 05:11:10.505,2024-04-05 05:11:10.506,0
660f87f5a2c1cc29e41e180c,Project Mgmt,"Project Management involves planning, organizing, and overseeing the execution of projects within specific constraints such as scope, time, budget, and resources. It includes tasks such as defining project goals, creating schedules, allocating resources, and managing risks.",2024-04-05 05:11:17.899,2024-04-05 05:11:17.899,0
660f87fda2c1cc29e41e180f,Python,"Python is a high-level, interpreted programming language known for its simplicity and readability. It is widely used for various applications including web development, data analysis, artificial intelligence, scientific computing, and more.",2024-04-05 05:11:25.901,2024-04-05 05:11:25.901,0
660f8803a2c1cc29e41e1812,React,"React is a JavaScript library for building user interfaces, developed by Facebook. It allows developers to create reusable UI components and efficiently manage the state of web applications. React is commonly used for building single-page applications (SPAs).",2024-04-05 05:11:31.230,2024-04-05 05:11:31.230,0
660f8807a2c1cc29e41e1815,React Native,React Native is a framework for building mobile applications using React. It allows developers to use React along with native platform capabilities to create cross-platform mobile apps for iOS and Android.,2024-04-05 05:11:35.850,2024-04-05 05:11:35.850,0
660f880ba2c1cc29e41e1818,Slides,"Slides refers to the creation and delivery of presentations using presentation software such as Microsoft PowerPoint, Google Slides, or Apple Keynote. It involves designing slides, adding content, and delivering presentations effectively.",2024-04-05 05:11:39.980,2024-04-05 05:11:39.981,0
660f8811a2c1cc29e41e181b,Snowflake,"Snowflake is a cloud-based data warehousing platform that allows users to store and analyze large volumes of data in a scalable and efficient manner. It provides features such as data storage, processing, and analytics in a single platform.",2024-04-05 05:11:45.955,2024-04-05 05:11:45.955,0
660f8817a2c1cc29e41e181e,DBT,"DBT (Data Build Tool) is an open-source command-line tool that enables analysts and data engineers to transform data in their warehouse more effectively. It uses SQL templates to define transformations, making it easy to version, test, and deploy data pipelines.",2024-04-05 05:11:51.322,2024-04-05 05:11:51.322,0
660f881ca2c1cc29e41e1821,Flask,"Flask is a lightweight and flexible web application framework for Python. It is designed to make getting started quick and easy, with the ability to scale up to complex applications. Flask is widely used for building web applications, RESTful APIs, and more.",2024-04-05 05:11:56.556,2024-04-05 05:11:56.557,0
660f8821a2c1cc29e41e1824,Django,"Django is a high-level Python web framework that encourages rapid development and clean, pragmatic design. It provides built-in features for authentication, URL routing, database modeling, and more, allowing developers to build web applications quickly and efficiently.",2024-04-05 05:12:01.138,2024-04-05 05:12:01.139,0
